loc,v(g),ev(g),iv(g),defects
34,5,3,5,1
16,2,1,2,1
21,2,1,2,1
6,1,1,1,1
45,5,1,5,1
7,1,1,1,1
21,2,1,2,1
6,1,1,1,1
7,1,1,1,1
14,2,1,1,1
5,1,1,1,1
63,7,4,5,1
12,2,1,2,1
26,6,5,2,1
46,12,11,8,1
37,10,9,3,1
24,10,8,2,1
36,6,4,5,1
14,2,1,2,1
12,2,1,2,1
8,1,1,1,1
60,8,4,7,1
41,4,3,3,1
5,1,1,1,1
16,2,1,1,1
4,1,1,1,1
24,6,6,2,1
44,5,4,3,1
367,48,7,44,1
29,5,1,3,1
29,5,1,3,1
34,5,1,3,1
49,6,1,4,1
33,4,1,4,1
52,9,9,6,1
41,5,1,5,1
40,2,1,1,1
31,2,1,1,1
7,1,1,1,1
44,5,5,4,1
30,4,1,1,1
51,16,9,3,1
22,2,1,2,1
35,3,1,3,1
33,2,1,2,1
112,48,44,9,1
4,1,1,1,1
13,2,1,1,1
15,2,1,2,1
12,2,1,2,1
115,14,1,7,1
10,1,1,1,1
44,8,8,3,1
41,5,1,4,1
169,21,1,13,1
112,18,3,2,1
100,6,1,6,1
133,10,1,5,1
19,2,1,1,1
19,2,1,1,1
28,1,1,1,1
78,13,4,13,1
63,5,1,5,1
52,4,1,4,1
54,6,1,6,1
96,7,4,3,1
123,28,9,3,1
86,46,46,18,1
122,41,22,1,1
17,13,13,13,1
14,2,1,2,1
50,15,15,1,1
24,15,13,2,1
28,9,9,5,1
16,3,3,1,1
5,1,1,1,1
18,2,1,2,1
20,10,7,4,1
5,1,1,1,1
60,11,5,3,1
23,8,8,2,1
27,5,5,1,1
69,11,7,5,1
28,9,9,2,1
14,10,10,2,1
15,10,10,2,1
54,17,7,1,1
40,3,1,2,1
78,12,1,7,1
24,2,1,2,1
28,5,1,5,1
24,10,10,10,1
24,5,1,2,1
143,15,1,3,1
21,5,1,1,1
28,13,13,13,1
24,5,1,2,1
24,3,1,2,1
5,1,1,1,1
107,31,1,2,1
30,2,1,2,1
31,2,1,2,1
11,2,1,2,1
16,2,1,2,1
22,3,1,3,1
130,13,1,8,1
121,13,1,8,1
28,3,1,3,1
71,1,1,1,1
97,5,1,5,1
58,9,9,2,1
18,3,1,2,1
60,19,5,10,1
16,2,1,2,1
4,1,1,1,1
87,6,4,4,1
129,7,1,4,1
76,11,8,6,1
83,8,6,6,1
125,15,6,11,1
129,16,6,11,1
128,16,6,11,1
129,16,6,11,1
130,17,6,12,1
92,8,1,6,1
92,22,15,11,1
70,15,12,5,1
90,23,21,11,1
68,20,18,9,1
89,21,19,10,1
97,23,21,11,1
83,21,19,10,1
27,5,3,3,1
48,12,10,1,1
351,30,25,18,1
48,11,1,11,1
80,12,5,3,1
4,1,1,1,1
4,1,1,1,1
6,2,1,1,1
4,1,1,1,1
6,1,1,1,1
16,4,3,2,1
4,1,1,1,1
87,4,3,3,1
77,10,7,3,1
37,7,7,4,1
27,6,4,4,1
32,6,6,3,1
7,1,1,1,1
26,4,3,2,1
13,3,3,2,1
23,4,3,2,1
74,13,7,3,1
34,2,1,2,1
28,3,1,3,1
4,1,1,1,1
4,1,1,1,1
29,4,4,3,1
24,5,1,5,1
23,5,1,2,1
32,6,1,1,1
87,13,9,2,1
24,6,6,2,1
21,3,1,1,1
23,3,1,2,1
97,27,25,6,1
52,7,1,5,1
43,15,11,6,1
36,12,4,3,1
126,10,6,5,1
45,11,3,3,1
11,2,1,2,1
13,1,1,1,1
4,1,1,1,1
35,8,8,2,1
23,1,1,1,1
24,1,1,1,1
26,5,1,2,1
13,1,1,1,1
33,5,1,2,1
21,3,1,3,1
11,1,1,1,1
15,2,1,2,1
38,29,17,14,1
38,29,17,14,1
187,17,15,7,1
34,4,1,4,1
55,4,1,4,1
23,3,1,3,1
23,3,1,3,1
9,2,1,2,1
102,21,21,17,1
37,3,3,3,1
39,7,5,5,1
27,3,1,3,1
126,9,1,9,1
38,9,1,9,1
20,4,1,2,1
42,6,5,3,1
66,16,13,1,1
71,5,1,4,1
28,8,7,1,1
36,6,6,3,1
49,3,1,2,1
6,1,1,1,1
7,2,1,1,1
92,19,14,5,1
20,5,4,3,1
27,3,1,2,1
55,6,4,4,1
8,1,1,1,1
26,3,1,2,1
55,4,3,1,1
69,2,1,2,1
10,2,1,2,1
52,3,1,3,1
15,2,1,2,1
139,12,1,6,1
25,3,1,2,1
14,1,1,1,1
8,1,1,1,1
406,33,1,33,1
92,15,5,12,1
69,9,1,6,1
87,1,1,1,1
58,1,1,1,1
64,1,1,1,1
61,2,1,2,1
33,7,5,4,1
8,2,1,2,1
48,9,8,4,1
87,10,9,5,1
26,3,1,3,1
7,3,1,3,1
11,1,1,1,1
31,3,1,3,1
129,16,3,7,1
20,11,1,2,1
20,7,7,2,1
12,4,4,3,1
63,9,5,2,1
18,2,1,1,1
27,10,10,5,1
17,2,1,1,1
17,2,1,1,1
35,10,9,7,1
18,4,4,3,1
69,22,21,6,1
12,3,3,1,1
12,2,1,1,1
26,5,5,1,1
73,15,14,15,1
70,8,1,7,1
53,6,4,5,1
46,2,1,2,1
41,7,1,5,1
214,13,1,10,1
167,13,1,13,1
21,3,1,2,1
34,9,1,4,1
15,2,1,2,1
28,5,1,3,1
148,14,8,9,1
42,7,1,5,1
145,19,12,18,1
54,3,1,2,1
34,9,4,7,1
40,3,1,3,1
43,8,5,4,1
97,33,30,11,1
74,7,1,6,1
28,4,1,2,1
32,9,1,1,1
81,15,10,14,1
11,2,1,2,1
11,2,1,2,1
7,1,1,1,1
99,20,20,2,1
7,2,1,1,1
12,5,5,1,1
26,1,1,1,1
80,14,1,12,1
96,5,1,3,1
24,2,1,2,1
78,13,4,6,1
269,75,63,42,1
234,23,16,15,1
31,4,1,3,1
32,4,1,3,1
42,15,10,7,1
115,19,17,14,1
34,6,6,3,1
53,10,8,4,1
29,3,1,3,1
10,2,1,2,1
11,2,1,2,1
38,5,3,5,1
23,3,1,3,1
7,2,1,2,1
14,6,1,6,1
36,6,5,5,1
16,2,1,2,1
42,7,1,4,1
15,2,1,2,1
15,2,1,2,1
15,3,1,3,1
15,3,1,3,1
50,11,7,6,1
12,2,1,2,1
294,117,117,113,1
40,7,1,5,1
10,6,6,2,1
80,11,9,11,1
79,3,1,3,1
73,10,3,7,1
78,9,4,8,1
23,2,1,2,1
49,7,7,7,1
76,3,1,3,1
70,4,4,3,1
162,27,5,15,1
44,16,13,5,1
30,5,1,4,1
22,3,1,1,1
17,3,1,1,1
84,11,10,7,1
91,11,3,10,1
65,12,8,9,1
39,8,3,5,1
32,4,1,3,1
159,10,1,2,1
33,2,1,2,1
57,12,10,10,1
27,2,1,2,1
37,2,1,2,1
286,85,1,83,1
29,3,1,3,1
12,2,1,2,1
35,12,6,6,1
19,1,1,1,1
15,6,4,3,1
101,18,12,8,1
151,20,12,16,1
67,22,19,22,1
205,49,40,49,1
93,15,7,12,1
74,5,4,3,1
48,5,5,5,1
115,17,11,17,1
39,8,3,5,1
32,5,1,5,1
47,8,7,6,1
17,2,1,2,1
272,28,17,22,1
111,13,1,7,1
36,2,1,2,1
31,5,1,4,1
33,3,1,3,1
53,6,1,4,1
57,7,1,4,1
33,3,1,2,1
465,68,17,12,1
108,14,3,11,1
84,11,10,7,1
19,3,3,2,1
126,64,61,45,1
17,3,3,2,1
36,6,1,5,1
58,10,1,10,1
44,7,4,7,1
133,36,25,30,1
18,3,1,3,1
82,24,20,3,1
12,4,1,2,1
87,21,16,10,1
7,2,1,2,1
7,2,1,2,1
23,2,1,2,1
17,2,1,2,1
14,2,1,2,1
19,2,1,2,1
40,11,10,11,1
18,2,1,2,1
35,3,1,3,1
103,17,14,12,1
28,13,13,13,1
119,51,50,50,1
12,4,1,2,1
126,111,111,67,1
36,5,1,4,1
33,2,1,2,1
34,5,1,4,1
17,5,3,3,1
68,17,15,7,1
20,3,1,2,1
7,1,1,1,1
32,7,5,6,1
12,4,1,2,1
12,2,1,2,1
101,17,14,14,1
12,4,1,2,1
146,50,4,34,1
81,6,1,6,1
12,4,1,2,1
234,45,1,45,1
42,5,1,5,1
249,51,25,40,1
225,55,36,33,1
12,4,1,2,1
19,5,3,2,1
44,12,10,9,1
7,2,1,2,1
43,4,1,4,1
12,4,1,2,1
228,31,16,24,1
95,17,7,15,1
118,14,4,13,1
20,2,1,2,1
7,2,1,2,1
12,4,1,2,1
17,3,1,2,1
9,1,1,1,1
8,1,1,1,1
12,2,1,2,1
8,1,1,1,1
24,3,1,3,1
12,4,1,2,1
12,4,1,2,1
123,29,21,18,1
52,14,14,14,1
40,4,1,3,1
12,4,1,2,1
24,5,1,3,1
8,2,1,2,1
8,2,1,2,1
8,2,1,2,1
8,2,1,2,1
47,9,1,7,1
38,3,1,3,1
162,2,1,2,1
237,36,11,16,1
100,25,16,20,1
71,6,1,5,1
61,13,11,10,1
45,12,8,4,1
11,3,1,3,1
526,80,31,60,1
63,13,11,8,1
25,5,4,2,1
19,3,1,3,1
51,4,1,4,1
8,2,1,2,1
11,1,1,1,1
4,1,1,1,1
33,4,3,2,1
16,3,1,2,1
22,6,3,2,1
13,1,1,1,1
21,7,7,3,1
48,7,1,7,1
18,2,1,1,1
14,4,3,2,1
84,13,9,4,1
6,1,1,1,1
10,2,1,2,1
23,3,1,3,1
8,1,1,1,1
7,2,1,2,1
35,9,1,6,1
23,5,1,3,1
12,2,1,1,1
36,10,8,6,1
502,95,19,63,1
32,5,1,4,1
58,7,1,5,1
97,12,11,6,1
4,1,1,1,1
74,16,1,15,1
8,1,1,1,1
72,16,1,1,1
41,16,7,2,1
15,1,1,1,1
17,2,1,1,1
37,33,25,11,1
71,17,13,14,1
37,5,5,3,1
62,11,7,7,1
28,3,1,3,1
23,3,1,3,1
72,11,1,8,1
77,14,7,10,1
119,22,12,8,1
54,11,10,4,1
64,9,1,7,1
156,22,15,16,1
25,3,1,3,1
89,11,5,8,1
22,5,1,4,1
22,3,1,1,1
23,6,6,1,1
17,3,1,2,1
80,9,8,5,1
111,12,9,7,1
112,12,9,7,1
75,10,7,5,1
79,10,7,5,1
12,2,1,1,1
47,9,6,3,1
47,5,3,1,1
23,2,1,1,1
98,19,16,2,1
161,25,23,15,1
115,8,1,7,1
4,3,3,1,1
84,15,8,8,1
88,12,8,5,1
11,5,5,1,1
26,4,3,3,1
72,3,1,3,1
46,10,9,3,1
24,5,3,3,1
6,1,1,1,1
20,2,1,1,1
15,3,1,2,1
8,1,1,1,1
121,19,1,19,1
53,6,3,3,1
6,1,1,1,1
15,3,1,2,1
14,3,1,2,1
12,1,1,1,1
34,7,6,3,1
69,14,9,10,1
136,42,32,35,1
82,19,12,13,1
24,3,1,3,1
46,4,4,4,1
35,1,1,1,1
70,13,9,3,1
94,11,7,9,1
17,3,1,3,1
19,4,1,4,1
16,2,1,2,1
20,3,1,3,1
51,1,1,1,1
28,2,1,2,1
35,7,6,3,1
14,3,1,2,1
34,7,1,5,1
14,1,1,1,1
25,3,1,2,1
26,3,1,1,1
26,2,1,1,1
70,9,4,7,1
17,3,1,3,1
20,3,1,3,1
34,7,6,3,1
34,7,6,3,1
34,7,6,3,1
19,3,1,2,1
37,5,1,4,1
20,2,1,2,1
17,1,1,1,1
21,3,1,3,1
39,3,1,3,1
37,1,1,1,1
10,2,1,2,1
32,3,1,3,1
24,3,1,3,1
10,2,1,2,1
20,10,6,7,1
21,4,1,4,1
91,7,1,4,1
50,7,1,4,1
24,3,1,2,1
5,1,1,1,1
35,5,4,5,1
150,28,22,12,1
113,25,23,11,1
17,3,1,2,1
22,3,1,3,1
168,26,22,20,1
87,24,1,19,1
231,22,3,9,1
25,2,1,2,1
19,3,1,1,1
181,37,21,11,1
45,4,3,3,1
20,2,1,2,1
54,6,4,5,1
5,1,1,1,1
4,1,1,1,1
4,1,1,1,1
4,1,1,1,1
4,1,1,1,1
51,7,5,7,1
423,32,11,29,1
5,1,1,1,1
19,1,1,1,1
6,1,1,1,1
19,1,1,1,1
10,1,1,1,1
31,2,1,2,1
34,7,5,4,1
78,9,4,8,1
77,9,4,8,1
6,1,1,1,1
14,1,1,1,1
22,2,1,2,1
33,7,1,5,1
110,17,1,3,1
20,3,1,2,1
54,6,4,5,1
6,1,1,1,1
7,1,1,1,1
67,5,1,4,1
18,4,4,1,1
13,2,1,2,1
64,13,13,2,1
5,1,1,1,1
29,2,1,2,1
28,2,1,2,1
39,6,1,5,1
155,23,8,8,1
5,1,1,1,1
10,2,1,2,1
41,5,1,5,1
321,45,18,16,1
13,1,1,1,1
39,6,1,4,1
78,12,7,5,1
14,2,1,1,1
10,2,1,2,1
9,2,1,2,1
51,7,1,6,1
24,5,3,2,1
121,24,17,9,1
128,22,16,12,1
90,11,7,7,1
49,9,5,5,1
70,6,1,5,1
9,2,1,2,1
65,12,4,7,1
13,2,1,2,1
11,2,1,2,1
19,5,5,2,1
14,3,1,3,1
24,3,1,3,1
19,3,1,1,1
21,2,1,1,1
41,5,1,5,1
11,2,1,1,1
15,3,1,3,1
115,18,13,18,1
41,6,5,2,1
5,1,1,1,1
21,2,1,2,1
48,6,1,6,1
6,1,1,1,1
16,1,1,1,1
46,10,8,1,1
79,14,1,14,1
8,1,1,1,1
60,14,1,2,1
73,7,1,7,1
177,18,14,7,1
20,1,1,1,1
9,1,1,1,1
25,5,5,2,1
5,1,1,1,1
25,5,1,4,1
23,6,1,3,1
44,10,8,3,1
45,8,1,8,1
21,2,1,1,1
33,6,1,3,1
61,14,1,9,1
19,3,1,3,1
20,1,1,1,1
36,10,8,9,1
70,12,8,7,1
124,18,10,5,1
16,3,1,2,1
29,3,3,1,1
55,11,3,10,1
15,3,1,1,1
33,7,1,1,1
108,6,1,4,1
71,3,1,3,1
99,13,5,10,1
39,8,8,6,1
44,10,10,6,1
83,22,9,22,1
15,4,4,3,1
36,15,1,1,1
229,18,12,9,1
106,8,1,8,1
18,1,1,1,1
171,18,1,14,1
18,1,1,1,1
10,1,1,1,1
258,41,1,2,1
17,2,1,2,1
59,1,1,1,1
344,16,4,15,1
18,1,1,1,1
173,19,1,12,1
70,6,1,5,1
89,8,1,3,1
17,5,3,3,1
191,32,12,20,1
101,8,1,8,1
12,2,1,2,1
74,6,1,5,1
109,9,3,7,1
163,33,15,15,1
17,3,1,3,1
60,9,3,4,1
172,35,23,20,1
19,2,1,2,1
59,7,3,4,1
85,11,10,8,1
29,5,5,3,1
43,3,1,3,1
75,10,5,4,1
68,11,9,7,1
98,18,15,10,1
113,17,13,13,1
74,12,9,6,1
50,7,3,4,1
14,3,1,1,1
10,1,1,1,1
22,4,4,1,1
22,2,1,2,1
50,7,1,4,1
16,2,1,2,1
17,1,1,1,1
25,2,1,2,1
39,10,1,1,1
231,20,7,5,1
61,8,4,7,1
52,4,3,3,1
118,23,1,16,1
35,5,1,5,1
14,3,1,1,1
107,6,1,6,1
115,8,1,8,1
107,7,1,7,1
62,1,1,1,1
62,1,1,1,1
360,73,1,45,1
78,2,1,2,1
74,2,1,2,1
229,10,1,10,1
56,3,1,2,1
4,1,1,1,1
45,6,1,5,1
45,9,4,9,1
44,4,3,3,1
34,6,1,3,1
35,4,1,4,1
22,3,3,2,1
27,5,3,4,1
23,4,4,4,1
5,1,1,1,1
22,5,3,3,1
17,4,3,4,1
18,2,1,2,1
31,7,3,4,1
219,40,9,19,1
47,9,5,4,1
27,8,7,3,1
37,6,1,5,1
256,43,12,26,1
171,1,1,1,1
4,1,1,1,1
38,6,1,4,1
105,123,122,82,1
15,2,1,2,1
25,6,3,2,1
70,18,17,7,1
46,3,1,2,1
17,1,1,1,1
154,39,26,12,1
14,3,1,3,1
48,7,3,5,1
16,2,1,2,1
97,24,18,14,1
27,4,1,3,1
10,1,1,1,1
32,3,1,3,1
24,3,1,3,1
14,1,1,1,1
93,16,4,14,1
82,14,4,12,1
5,1,1,1,1
12,3,3,1,1
324,133,133,128,1
25,2,1,2,1
110,22,14,12,1
70,12,1,4,1
4,1,1,1,1
59,9,5,7,1
35,5,1,4,1
47,6,1,6,1
10,5,4,2,1
157,19,1,15,1
206,29,11,20,1
21,1,1,1,1
187,12,7,10,1
33,6,6,6,1
26,6,1,1,1
6,1,1,1,1
18,3,1,3,1
199,28,5,19,1
29,5,3,3,1
100,14,5,10,1
25,6,3,5,1
88,22,15,12,1
28,9,1,8,1
12,5,4,2,1
165,16,7,9,1
83,13,1,10,1
14,3,3,2,1
9,3,1,2,1
50,16,16,1,1
11,5,1,1,1
62,7,7,7,1
32,6,6,3,1
48,9,5,5,1
47,4,1,4,1
39,10,1,2,1
46,12,5,3,1
45,2,1,1,1
47,2,1,1,1
69,8,7,6,1
37,4,3,3,1
45,4,3,3,1
39,5,1,2,1
50,8,6,8,1
41,2,1,2,1
8,1,1,1,1
8,1,1,1,1
8,1,1,1,1
19,4,3,3,1
31,6,4,3,1
57,5,1,5,1
56,6,1,6,1
18,3,1,3,1
6,2,1,1,1
29,4,1,4,1
9,1,1,1,1
27,6,4,6,1
41,7,4,4,1
42,3,1,2,1
23,2,1,1,1
23,2,1,1,1
14,1,1,1,1
31,5,1,5,1
45,6,4,6,1
26,6,4,4,1
95,12,9,4,1
19,3,1,2,1
8,2,1,2,1
76,13,7,7,1
41,3,1,3,1
41,3,1,3,1
29,5,1,2,1
45,5,1,4,1
51,7,6,4,1
23,4,4,1,1
64,4,1,4,1
104,13,12,9,1
56,8,7,5,1
45,4,1,4,1
39,9,8,4,1
20,3,1,3,1
58,3,1,1,1
41,7,5,1,1
84,32,32,25,1
28,6,3,3,1
25,5,5,2,1
45,7,5,6,1
22,7,4,1,1
69,7,1,7,1
83,14,9,11,1
22,1,1,1,1
30,4,1,4,1
42,8,1,5,1
63,12,1,12,1
56,11,1,11,1
38,4,1,1,1
112,31,1,1,1
25,1,1,1,1
133,13,11,6,1
57,9,9,4,1
135,18,6,4,1
48,4,1,4,1
40,3,1,2,1
70,1,1,1,1
53,3,1,2,1
302,3,3,3,1
281,55,31,39,1
20,1,1,1,1
88,9,1,3,1
21,3,1,2,1
7,1,1,1,1
18,6,3,6,1
12,2,1,1,1
43,7,3,4,1
32,10,10,10,1
48,6,5,3,1
86,20,16,12,1
48,9,8,6,1
7,2,1,2,1
24,2,1,2,1
24,3,1,2,1
114,16,13,11,1
53,2,1,2,1
687,201,16,55,1
59,11,4,6,1
8,2,1,1,1
7,2,1,2,1
100,14,9,6,1
72,6,1,5,1
34,5,1,2,1
34,5,1,2,1
28,4,1,1,1
64,7,1,2,1
76,8,4,2,1
51,7,4,5,1
65,5,1,2,1
28,4,1,1,1
64,7,1,2,1
81,7,1,2,1
142,30,24,12,1
147,21,20,3,1
178,11,1,10,1
66,5,1,5,1
26,1,1,1,1
34,2,1,2,1
48,28,28,28,1
74,10,1,2,1
39,4,1,4,1
26,1,1,1,1
16,3,1,2,1
142,22,11,12,1
16,3,1,3,1
41,6,1,1,1
81,12,6,9,1
13,2,1,1,1
197,8,1,5,1
80,5,1,2,1
22,3,1,2,1
20,3,1,1,1
37,13,1,4,1
23,7,6,1,1
32,2,1,2,1
170,16,13,6,1
26,2,1,1,1
163,18,13,13,1
158,18,13,13,1
156,18,13,13,1
153,18,13,13,1
70,7,4,4,1
153,18,13,13,1
70,10,1,5,1
58,4,1,4,1
151,8,4,6,1
139,35,35,19,1
35,6,1,1,1
65,9,8,1,1
13,3,1,3,1
139,14,8,7,1
41,5,1,1,1
63,6,4,4,1
39,3,1,3,1
39,3,1,3,1
51,5,3,2,1
8,1,1,1,1
22,10,7,2,1
11,1,1,1,1
7,1,1,1,1
18,1,1,1,1
193,36,30,13,1
100,9,4,6,1
84,7,4,3,1
29,4,4,4,1
