,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
15,24,5,1,2,120,655.13,0.07,15.2,43.1,9958.0,0.22,553.22,3,20,23,0,19,25,80,40,9,0
16,13,2,1,1,57,271.03,0.11,9.15,29.61,2480.95,0.09,137.83,6,5,8,0,14,13,40,17,3,0
17,6,1,1,1,15,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1,1,2,0,8,5,10,5,1,0
18,33,2,1,2,135,745.68,0.09,11.65,64.01,8684.99,0.25,482.5,2,0,19,0,12,34,69,66,3,0
19,6,1,1,1,15,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1,1,0,0,8,5,10,5,1,0
20,7,2,1,1,27,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0,0,1,0,10,5,15,12,3,0
21,3,1,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,7,4,9,5,1,0
22,7,1,1,1,29,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,6,8,16,13,1,0
23,9,3,1,1,41,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11,7,23,18,5,0
24,11,3,1,1,49,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,12,9,27,22,5,0
25,4,1,1,1,13,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4,4,7,6,1,0
26,3,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5,2,5,2,1,0
27,16,4,1,1,77,370.17,0.05,19.62,18.87,7260.95,0.12,403.39,11,30,7,0,15,13,43,34,7,0
28,65,12,1,1,541,3327.01,0.02,42.02,79.18,139798.54,1.11,7766.59,5,95,33,0,19,52,311,230,23,0
29,177,41,6,23,767,5580.79,0.02,54.82,101.81,305928.62,1.86,16996.03,63,31,134,0,45,110,499,268,60,0
30,14,5,1,3,41,185.47,0.07,15.0,12.36,2781.99,0.06,154.56,4,5,9,0,15,8,25,16,8,0
31,361,70,27,46,1844,15345.64,0.01,97.73,157.03,1499684.32,5.12,83315.8,37,191,164,0,69,251,1133,711,110,0
32,76,13,7,10,298,1948.67,0.03,32.21,60.5,62767.66,0.65,3487.09,3,48,27,0,36,57,196,102,24,0
33,31,1,1,1,461,2653.0,0.04,22.83,116.21,60566.12,0.88,3364.78,0,10,4,0,13,41,317,144,1,0
34,20,3,1,3,71,351.75,0.1,10.29,34.17,3620.93,0.12,201.16,0,0,5,0,14,17,46,25,5,0
35,27,5,3,3,108,540.0,0.05,21.86,24.71,11802.86,0.18,655.71,4,5,7,0,18,14,74,34,9,0
36,15,3,1,3,52,260.0,0.14,7.18,36.19,1867.89,0.09,103.77,2,24,16,0,13,19,31,21,5,0
37,13,4,1,4,59,295.0,0.09,11.03,26.75,3253.68,0.1,180.76,3,8,15,0,15,17,34,25,7,0
38,32,6,1,6,123,686.95,0.08,12.89,53.31,8852.8,0.23,491.82,5,44,42,0,17,31,76,47,11,0
39,25,3,1,3,120,684.05,0.07,14.11,48.49,9649.29,0.23,536.07,2,16,19,0,19,33,71,49,5,0
40,22,4,4,4,75,381.56,0.07,13.42,28.43,5120.93,0.13,284.5,5,10,19,0,15,19,41,34,7,0
41,28,6,1,4,128,707.02,0.04,23.1,30.61,16332.07,0.24,907.34,5,19,15,0,21,25,73,55,11,0
42,18,2,1,2,122,625.77,0.04,24.42,25.62,15282.02,0.21,849.0,3,18,13,0,16,19,64,58,3,0
43,24,5,1,3,197,1075.51,0.03,39.72,27.08,42716.37,0.36,2373.13,2,20,14,0,21,23,110,87,9,0
44,62,9,4,6,310,2002.42,0.05,21.19,94.51,42426.35,0.67,2357.02,5,32,26,0,24,64,197,113,17,0
45,65,12,3,8,263,1653.06,0.07,15.19,108.84,25107.55,0.55,1394.86,0,34,17,0,17,61,154,109,23,0
46,8,1,1,1,49,181.32,0.14,7.0,25.9,1269.25,0.06,70.51,0,3,3,0,7,6,37,12,1,0
47,18,4,1,4,80,428.6,0.13,7.89,54.3,3382.91,0.14,187.94,2,2,12,0,13,28,46,34,7,0
48,6,1,1,1,11,30.88,0.38,2.67,11.58,82.35,0.01,4.57,1,2,0,0,4,3,7,4,1,0
49,48,7,1,7,250,1626.95,0.07,14.23,114.37,23143.92,0.54,1285.77,4,28,39,0,20,71,149,101,13,0
50,127,10,1,10,737,5334.7,0.04,24.9,214.24,132838.37,1.78,7379.91,4,31,77,0,25,126,486,251,19,0
51,21,4,1,4,77,391.73,0.13,7.64,51.3,2991.43,0.13,166.19,0,23,55,0,12,22,49,28,7,0
52,32,2,1,2,214,1284.0,0.05,18.78,68.36,24116.87,0.43,1339.83,1,8,12,0,18,46,118,96,3,0
53,41,6,1,5,169,985.76,0.06,17.21,57.28,16963.26,0.33,942.4,3,47,40,0,21,36,110,59,11,0
54,23,5,1,5,51,236.84,0.13,7.85,30.19,1858.26,0.08,103.24,1,20,13,0,12,13,34,17,9,0
55,8,2,1,1,36,158.12,0.18,5.5,28.75,869.68,0.05,48.32,0,6,7,0,11,10,26,10,3,0
56,25,4,1,1,95,475.0,0.07,15.0,31.67,7125.0,0.16,395.83,0,8,7,0,16,16,65,30,7,0
57,8,2,1,1,12,39.86,0.27,3.75,10.63,149.49,0.01,8.3,1,6,3,0,6,4,7,5,3,0
58,17,3,1,3,102,535.29,0.07,14.57,36.74,7799.92,0.18,433.33,2,2,9,0,17,21,66,36,5,0
59,38,5,1,5,176,1047.94,0.05,19.25,54.44,20172.82,0.35,1120.71,2,12,12,0,22,40,106,70,9,0
60,31,5,5,5,140,809.39,0.07,14.84,54.55,12009.6,0.27,667.2,10,9,23,0,18,37,79,61,9,0
61,21,4,1,3,61,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,15,19,35,26,7,0
62,21,4,1,3,61,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,15,19,35,26,7,0
63,14,2,1,1,25,97.67,0.09,11.0,8.88,1074.39,0.03,59.69,0,0,3,0,10,5,14,11,3,0
64,6,1,1,1,16,57.36,0.29,3.5,16.39,200.76,0.02,11.15,0,4,0,0,7,5,11,5,1,0
65,29,5,1,2,111,569.35,0.05,20.78,27.4,11829.84,0.19,657.21,0,17,6,0,17,18,67,44,9,0
66,18,3,1,1,91,459.04,0.08,12.89,35.6,5919.2,0.15,328.84,1,11,8,0,14,19,56,35,5,0
67,55,11,5,8,217,1311.63,0.04,26.83,48.89,35190.17,0.44,1955.01,0,8,17,0,25,41,129,88,21,0
68,47,3,1,1,150,937.19,0.06,15.65,59.87,14671.27,0.31,815.07,0,39,14,0,21,55,68,82,5,0
69,32,6,4,2,95,498.55,0.04,22.85,21.82,11393.4,0.17,632.97,2,14,10,0,21,17,58,37,11,0
70,32,3,1,1,538,3124.36,0.02,53.2,58.73,166215.79,1.04,9234.21,3,13,22,0,16,40,272,266,5,0
71,38,4,1,1,165,911.39,0.04,24.28,37.54,22126.47,0.3,1229.25,0,11,10,0,19,27,96,69,6,0
72,14,2,1,1,56,260.06,0.14,7.07,36.78,1838.97,0.09,102.16,0,0,0,0,11,14,38,18,3,0
73,60,5,1,5,331,2164.46,0.05,22.12,97.85,47876.6,0.72,2659.81,9,14,39,0,26,67,217,114,9,0
74,10,1,1,1,32,125.02,0.16,6.13,20.41,765.75,0.04,42.54,0,2,5,0,7,8,18,14,1,0
75,16,3,1,3,73,358.2,0.11,9.0,39.8,3223.83,0.12,179.1,10,6,9,0,12,18,46,27,5,0
76,12,2,1,2,33,142.62,0.16,6.11,23.34,871.59,0.05,48.42,0,4,4,0,11,9,23,10,3,0
77,13,2,1,1,41,174.17,0.1,9.63,18.1,1676.34,0.06,93.13,0,0,3,0,11,8,27,14,3,0
78,16,2,1,2,42,192.57,0.11,9.1,21.16,1752.37,0.06,97.35,0,13,5,0,14,10,29,13,3,0
79,27,4,3,3,95,521.73,0.06,18.12,28.78,9456.28,0.17,525.35,3,5,22,0,25,20,66,29,7,0
80,31,5,4,4,110,604.1,0.06,17.25,35.02,10420.79,0.2,578.93,3,15,19,0,23,22,77,33,9,0
81,10,1,1,1,10,28.07,0.5,2.0,14.04,56.15,0.01,3.12,0,1,5,0,4,3,7,3,1,0
82,37,5,1,3,93,494.94,0.06,16.0,30.93,7919.03,0.16,439.95,2,28,12,0,20,20,61,32,9,0
83,8,1,1,1,9,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,5,3,6,3,1,0
84,8,1,1,1,33,134.89,0.16,6.19,21.8,834.61,0.04,46.37,0,2,6,0,9,8,22,11,1,0
85,9,1,1,1,44,183.48,0.14,7.0,26.21,1284.34,0.06,71.35,1,5,5,0,9,9,30,14,1,0
86,9,1,1,1,36,140.65,0.12,8.25,17.05,1160.35,0.05,64.45,0,5,3,0,9,6,25,11,1,0
87,7,1,1,1,8,22.46,0.4,2.5,8.98,56.15,0.01,3.12,0,1,2,0,5,2,6,2,1,0
88,26,4,3,2,99,511.82,0.08,13.2,38.77,6756.06,0.17,375.34,0,6,5,0,16,20,66,33,7,0
89,7,1,1,1,25,97.67,0.17,6.0,16.28,586.03,0.03,32.56,0,2,5,0,9,6,17,8,1,0
90,14,1,1,1,86,365.32,0.08,13.05,27.99,4767.45,0.12,264.86,0,6,5,0,9,10,57,29,1,0
91,9,1,1,1,14,46.51,0.21,4.67,9.97,217.03,0.02,12.06,0,0,4,0,7,3,10,4,1,0
92,11,1,1,1,23,82.45,0.14,7.0,11.78,577.18,0.03,32.07,0,0,5,0,8,4,16,7,1,0
93,34,6,1,3,135,745.68,0.08,12.6,59.16,9398.15,0.25,522.12,0,8,6,0,17,29,92,43,11,0
94,7,1,1,1,11,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,1,4,0,7,2,9,2,1,0
95,31,7,1,5,126,618.27,0.04,23.5,26.31,14529.3,0.21,807.18,2,30,21,0,15,15,79,47,13,0
96,8,1,1,1,9,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,5,3,6,3,1,0
97,6,1,1,1,10,30.0,0.33,3.0,10.0,90.0,0.01,5.0,0,0,2,0,6,2,8,2,1,0
98,7,1,1,1,10,33.22,0.29,3.5,9.49,116.27,0.01,6.46,0,0,2,0,7,3,7,3,1,0
99,15,2,1,1,60,285.29,0.13,7.6,37.54,2168.23,0.1,120.46,0,0,7,0,12,15,41,19,3,0
100,16,1,1,1,64,289.51,0.12,8.36,34.64,2419.46,0.1,134.41,0,0,7,0,9,14,38,26,1,0
101,19,1,1,1,64,293.44,0.1,9.73,30.16,2855.37,0.1,158.63,0,1,13,0,11,13,41,23,1,0
102,130,29,7,27,729,5103.0,0.02,55.88,91.32,285170.84,1.7,15842.82,45,13,53,0,34,94,420,309,57,0
103,30,4,1,4,122,630.73,0.05,20.71,30.45,13065.14,0.21,725.84,3,3,12,0,15,21,64,58,7,0
104,34,6,1,6,146,771.67,0.08,12.0,64.31,9260.02,0.26,514.45,4,0,10,0,12,27,92,54,11,0
105,20,6,6,2,241,1299.55,0.02,46.0,28.25,59779.23,0.43,3321.07,1,6,6,0,23,19,165,76,11,0
106,17,2,1,1,53,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0,0,7,0,15,12,30,23,3,0
107,17,2,1,1,53,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0,0,6,0,15,12,30,23,3,0
108,26,8,8,1,210,1125.09,0.04,23.02,48.87,25900.42,0.38,1438.91,0,5,3,0,17,24,145,65,15,0
109,10,1,1,1,22,69.74,0.18,5.63,12.4,392.28,0.02,21.79,0,0,0,0,5,4,13,9,1,0
110,6,1,1,1,11,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,6,4,7,4,1,0
111,8,1,1,1,11,30.88,0.38,2.67,11.58,82.35,0.01,4.57,0,0,3,0,4,3,7,4,1,0
112,93,17,7,6,407,2692.19,0.02,48.06,56.02,129374.54,0.9,7187.47,13,55,24,0,35,63,234,173,33,0
113,128,25,12,9,790,5664.24,0.02,54.33,104.25,307757.08,1.89,17097.62,33,58,2,0,36,108,464,326,49,0
114,28,3,1,3,103,551.83,0.09,11.69,47.22,6449.49,0.18,358.3,0,11,1,0,17,24,70,33,5,0
115,19,2,1,2,62,312.75,0.11,9.41,33.23,2943.55,0.1,163.53,0,3,1,0,16,17,42,20,3,0
116,19,2,1,2,57,282.39,0.11,8.91,31.71,2515.03,0.09,139.72,0,3,2,0,15,16,38,19,3,0
117,21,3,1,3,62,298.06,0.12,8.63,34.56,2570.73,0.1,142.82,0,2,2,0,12,16,39,23,5,0
118,154,17,10,13,695,5143.61,0.03,38.57,133.35,198396.43,1.71,11022.02,20,119,26,0,36,133,410,285,28,0
119,125,18,1,13,438,3131.59,0.02,40.25,77.8,126046.47,1.04,7002.58,13,50,21,0,46,96,270,168,31,0
120,14,2,1,1,24,100.08,0.13,7.86,12.74,786.33,0.03,43.68,0,1,4,0,11,7,14,10,3,0
121,127,30,8,5,690,4697.07,0.03,36.21,129.72,170066.5,1.57,9448.14,7,39,5,0,25,87,438,252,59,0
122,12,1,1,1,29,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,5,9,17,12,1,0
123,18,2,1,2,72,372.23,0.09,11.63,32.0,4329.68,0.12,240.54,0,9,2,0,17,19,46,26,3,0
124,20,3,1,3,89,452.78,0.09,11.56,39.18,5232.17,0.15,290.68,0,3,5,0,16,18,63,26,5,0
125,36,4,1,4,156,851.67,0.06,17.63,48.31,15014.65,0.28,834.15,2,13,3,0,17,27,100,56,6,0
126,160,32,7,20,488,3442.98,0.04,22.73,151.5,78244.98,1.15,4346.94,12,33,22,0,29,104,325,163,58,0
127,47,10,9,7,318,1980.76,0.05,18.86,105.02,37359.42,0.66,2075.52,6,7,8,0,21,54,221,97,19,0
128,6,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4,2,4,2,1,0
129,6,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4,2,4,2,1,0
130,38,4,3,1,153,892.43,0.07,14.75,60.5,13163.37,0.3,731.3,3,35,2,0,19,38,94,59,7,0
131,6,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4,2,4,2,1,0
132,12,1,1,1,21,75.28,0.5,2.0,37.64,150.57,0.03,8.36,0,0,0,0,4,8,13,8,1,0
133,12,1,1,1,25,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4,9,13,12,1,0
134,9,1,1,1,25,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4,9,13,12,1,0
135,41,2,1,2,241,1472.15,0.06,15.69,93.81,23101.5,0.49,1283.42,0,7,14,0,17,52,145,96,3,0
136,30,2,1,2,151,852.22,0.07,14.68,58.05,12512.17,0.28,695.12,0,6,5,0,17,33,94,57,3,0
137,6,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5,2,5,2,1,0
138,20,5,1,1,63,288.85,0.05,21.0,13.75,6065.91,0.1,336.99,0,0,4,0,16,8,42,21,9,0
139,149,15,11,6,781,5575.99,0.02,46.92,118.83,261640.64,1.86,14535.59,2,65,10,0,31,110,448,333,29,0
140,6,1,1,1,8,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,4,3,5,3,1,0
141,16,3,1,2,70,353.11,0.13,7.71,45.77,2723.97,0.12,151.33,2,18,10,0,12,21,43,27,5,0
142,15,1,1,1,46,179.72,0.19,5.25,34.23,943.51,0.06,52.42,0,0,5,0,5,10,25,21,1,0
143,13,1,1,1,69,298.21,0.06,15.5,19.24,4622.3,0.1,256.79,0,6,5,0,10,10,38,31,1,0
144,6,1,1,1,13,44.97,0.29,3.5,12.85,157.4,0.01,8.74,0,0,0,0,7,4,9,4,1,0
145,14,2,1,1,37,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,10,7,24,13,3,0
146,14,2,1,1,37,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,10,7,24,13,3,0
147,27,3,1,1,130,744.63,0.08,12.04,61.85,8964.95,0.25,498.05,0,39,12,0,15,38,69,61,5,0
148,19,2,1,2,60,300.0,0.11,9.5,31.58,2850.0,0.1,158.33,0,6,0,0,16,16,41,19,3,0
149,21,2,1,2,105,525.0,0.04,23.0,22.83,12075.0,0.18,670.83,6,6,3,0,16,16,59,46,3,0
150,6,1,1,1,13,43.19,0.27,3.75,11.52,161.94,0.01,9.0,0,0,1,0,6,4,8,5,1,0
151,16,3,3,2,40,185.75,0.13,7.64,24.32,1418.49,0.06,78.8,0,5,0,0,14,11,28,12,5,0
152,55,9,1,3,292,1738.63,0.03,33.32,52.18,57931.89,0.58,3218.44,12,20,10,0,23,39,179,113,17,0
153,6,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3,2,3,2,1,0
154,9,1,1,1,18,62.27,0.44,2.29,27.24,142.33,0.02,7.91,0,0,1,0,4,7,10,8,1,0
155,12,1,1,1,29,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,5,9,17,12,1,0
156,12,1,1,1,25,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4,9,13,12,1,0
157,69,19,19,13,418,2746.2,0.03,36.57,75.09,100429.38,0.92,5579.41,0,18,24,0,31,64,267,151,37,0
158,138,25,1,24,625,4677.38,0.04,27.21,171.89,127275.78,1.56,7070.88,1,58,6,0,32,147,375,250,47,0
159,6,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4,2,4,2,1,0
160,6,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4,2,4,2,1,0
161,72,16,9,7,255,1573.33,0.05,18.26,86.16,28729.02,0.52,1596.06,1,19,6,0,22,50,172,83,31,0
162,6,1,1,1,4,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3,1,3,1,1,0
163,6,1,1,1,5,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,0,0,4,1,4,1,1,0
164,6,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5,2,5,2,1,0
165,6,1,1,1,9,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,4,0,0,5,3,6,3,1,0
166,11,1,1,1,22,73.08,0.47,2.14,34.11,156.61,0.02,8.7,0,0,0,0,3,7,12,10,1,0
167,23,4,1,4,75,396.41,0.09,11.57,34.26,4586.97,0.13,254.83,1,23,0,0,18,21,48,27,7,0
168,17,1,1,1,49,221.65,0.26,3.88,57.09,860.54,0.07,47.81,0,9,1,0,6,17,27,22,1,0
169,60,13,1,6,155,919.26,0.07,13.9,66.12,12780.02,0.31,710.0,4,15,0,0,20,41,98,57,19,0
170,32,5,1,3,72,360.0,0.08,13.24,27.2,4764.71,0.12,264.71,1,0,1,0,15,17,42,30,9,0
171,16,3,3,1,33,144.95,0.09,10.56,13.72,1531.0,0.05,85.06,1,0,4,0,13,8,20,13,5,0
172,42,2,1,2,210,1316.03,0.07,13.88,94.81,18268.21,0.44,1014.9,0,6,1,0,18,59,119,91,3,0
173,6,1,1,1,8,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,4,3,5,3,1,0
174,14,2,1,1,67,328.76,0.09,11.47,28.66,3771.09,0.11,209.5,6,13,1,0,13,17,37,30,3,0
175,27,3,1,1,87,456.57,0.12,8.31,54.96,3793.04,0.15,210.72,0,9,0,0,12,26,51,36,5,0
176,8,1,1,1,24,88.81,0.14,7.2,12.33,639.44,0.03,35.52,0,0,0,0,8,5,15,9,1,0
177,7,1,1,1,13,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4,4,7,6,1,0
178,31,5,1,1,67,284.61,0.05,19.94,14.28,5674.43,0.09,315.25,1,4,1,0,11,8,38,29,9,0
179,8,1,1,1,12,39.86,0.21,4.67,8.54,186.03,0.01,10.33,0,3,0,0,7,3,8,4,1,0
180,11,1,1,1,29,116.0,0.09,10.83,10.71,1256.67,0.04,69.81,0,3,0,0,10,6,16,13,1,0
181,6,1,1,1,4,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3,1,3,1,1,0
182,13,2,1,1,20,74.01,0.29,3.5,21.15,259.02,0.02,14.39,0,0,0,0,7,6,14,6,3,0
183,6,1,1,1,10,31.7,0.33,3.0,10.57,95.1,0.01,5.28,0,3,0,0,6,3,7,3,1,0
184,22,2,1,2,81,421.97,0.09,11.48,36.77,4842.06,0.14,269.0,0,12,1,0,17,20,54,27,3,0
185,29,7,5,2,100,508.75,0.04,25.33,20.08,12888.24,0.17,716.01,0,9,5,0,19,15,60,40,13,0
186,9,1,1,1,81,366.41,0.05,20.22,18.12,7409.59,0.12,411.64,0,2,3,0,14,9,55,26,1,0
187,16,4,4,1,135,675.0,0.04,24.37,27.7,16447.5,0.23,913.75,0,3,4,0,17,15,92,43,7,0
188,92,15,15,15,466,2643.35,0.02,57.0,46.37,150670.96,0.88,8370.61,27,41,67,0,19,32,274,192,29,0
189,18,4,4,1,76,369.21,0.07,15.38,24.0,5680.1,0.12,315.56,7,11,9,0,16,13,51,25,7,0
190,36,6,1,6,182,1005.29,0.05,21.46,46.84,21576.47,0.34,1198.69,9,22,15,0,19,27,121,61,11,0
191,5,1,1,1,9,28.53,0.33,3.0,9.51,85.59,0.01,4.75,1,1,0,0,6,3,6,3,1,0
192,22,3,1,3,69,341.84,0.07,14.06,24.31,4807.12,0.11,267.06,4,0,6,0,15,16,39,30,5,0
193,3,1,1,1,7,18.09,0.4,2.5,7.24,45.24,0.01,2.51,0,0,0,0,5,1,6,1,1,0
194,7,2,1,1,27,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0,0,1,0,10,5,15,12,3,0
195,3,1,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,7,4,9,5,1,0
196,7,1,1,1,29,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,6,8,16,13,1,0
197,9,3,1,1,41,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11,7,23,18,5,0
198,11,3,1,1,49,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,12,9,27,22,5,0
199,4,1,1,1,13,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4,4,7,6,1,0
200,3,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5,2,5,2,1,0
201,30,4,1,2,193,1149.16,0.04,25.34,45.35,29117.23,0.38,1617.62,10,22,21,0,25,37,118,75,7,0
202,5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3,2,3,2,1,0
203,16,4,1,2,109,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,6,10,9,0,24,19,68,41,7,0
204,5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3,2,3,2,1,0
205,15,4,1,2,109,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,7,10,10,0,24,19,68,41,7,0
206,40,10,1,8,399,2609.12,0.03,31.3,83.37,81653.73,0.87,4536.32,35,31,46,0,27,66,246,153,19,0
207,5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3,2,3,2,1,0
208,5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3,2,3,2,1,0
209,12,2,1,1,100,516.99,0.07,15.21,33.99,7863.73,0.17,436.87,8,14,8,0,17,19,66,34,3,0
210,5,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,1,7,1,0,4,2,4,2,1,0
211,44,6,1,4,380,2490.74,0.03,34.84,71.49,86774.3,0.83,4820.79,18,28,33,0,32,62,245,135,11,0
212,31,5,1,5,141,734.53,0.06,16.56,44.36,12163.87,0.24,675.77,5,0,10,0,12,25,72,69,9,0
213,22,6,1,3,94,503.61,0.05,19.95,25.24,10047.02,0.17,558.17,11,21,25,0,21,20,56,38,11,0
214,20,4,1,4,122,666.05,0.07,14.44,46.13,9617.77,0.22,534.32,2,13,9,0,19,25,84,38,7,0
215,27,6,3,5,140,801.91,0.07,14.9,53.81,11951.03,0.27,663.95,4,16,20,0,22,31,98,42,11,0
216,6,1,1,1,28,121.01,0.2,5.0,24.2,605.07,0.04,33.61,3,3,3,0,10,10,18,10,1,0
217,25,2,1,2,140,759.68,0.06,15.45,49.18,11735.7,0.25,651.98,2,4,10,0,14,29,76,64,3,0
218,10,2,1,1,45,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,14,10,31,14,3,0
219,10,2,1,1,45,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,14,10,31,14,3,0
220,5,1,1,1,5,11.61,0.5,2.0,5.8,23.22,0.0,1.29,3,3,2,0,4,1,4,1,1,0
221,14,3,1,2,56,266.27,0.12,8.62,30.91,2294.05,0.09,127.45,4,8,7,0,14,13,40,16,5,0
222,20,4,1,4,97,526.35,0.09,11.12,47.35,5850.56,0.18,325.03,3,12,14,0,17,26,63,34,7,0
223,28,7,5,5,142,809.46,0.07,14.56,55.58,11789.43,0.27,654.97,4,18,19,0,21,31,99,43,13,0
224,3,1,1,1,11,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,3,7,0,7,2,9,2,1,0
225,45,12,5,8,288,1810.2,0.04,26.32,68.78,47644.35,0.6,2646.91,21,29,36,0,28,50,194,94,23,0
