,loc,v(g),ev(g),iv(g)
244,56.0,13.0,7.0,11.0
245,20.0,2.0,1.0,2.0
246,9.0,2.0,1.0,2.0
247,145.0,25.0,21.0,18.0
248,34.0,4.0,1.0,4.0
249,12.0,1.0,1.0,1.0
250,24.0,5.0,3.0,4.0
251,74.0,6.0,5.0,4.0
252,36.0,1.0,1.0,1.0
253,7.0,2.0,1.0,2.0
254,7.0,1.0,1.0,1.0
255,6.0,1.0,1.0,1.0
256,55.0,5.0,1.0,3.0
257,21.0,1.0,1.0,1.0
258,17.0,3.0,1.0,3.0
259,19.0,3.0,1.0,1.0
260,22.0,3.0,1.0,3.0
261,40.0,3.0,1.0,3.0
262,15.0,2.0,1.0,2.0
263,27.0,5.0,3.0,4.0
264,35.0,1.0,1.0,1.0
265,30.0,2.0,1.0,2.0
266,12.0,1.0,1.0,1.0
267,22.0,1.0,1.0,1.0
268,40.0,5.0,3.0,4.0
269,176.0,16.0,10.0,14.0
270,132.0,13.0,10.0,13.0
271,101.0,13.0,6.0,12.0
272,7.0,1.0,1.0,1.0
273,11.0,1.0,1.0,1.0
274,11.0,1.0,1.0,1.0
275,11.0,1.0,1.0,1.0
276,11.0,1.0,1.0,1.0
277,16.0,2.0,1.0,2.0
278,38.0,2.0,1.0,2.0
279,50.0,5.0,1.0,5.0
280,4.0,1.0,1.0,1.0
281,60.0,6.0,3.0,5.0
282,63.0,8.0,5.0,8.0
283,72.0,11.0,7.0,9.0
284,57.0,6.0,1.0,5.0
285,82.0,16.0,13.0,16.0
286,288.0,45.0,7.0,45.0
287,96.0,9.0,1.0,8.0
288,68.0,18.0,5.0,18.0
289,84.0,11.0,1.0,11.0
290,20.0,2.0,1.0,2.0
291,72.0,12.0,8.0,10.0
292,16.0,1.0,1.0,1.0
293,40.0,5.0,1.0,5.0
294,12.0,1.0,1.0,1.0
295,11.0,1.0,1.0,1.0
296,50.0,8.0,3.0,4.0
297,25.0,2.0,1.0,2.0
298,4.0,1.0,1.0,1.0
299,220.0,12.0,8.0,12.0
300,22.0,1.0,1.0,1.0
301,23.0,1.0,1.0,1.0
302,89.0,6.0,4.0,5.0
303,15.0,1.0,1.0,1.0
304,100.0,7.0,3.0,6.0
305,12.0,1.0,1.0,1.0
306,72.0,7.0,1.0,7.0
307,23.0,1.0,1.0,1.0
308,140.0,18.0,10.0,18.0
309,162.0,17.0,12.0,16.0
310,33.0,1.0,1.0,1.0
311,82.0,13.0,4.0,12.0
312,73.0,10.0,7.0,9.0
313,109.0,18.0,14.0,15.0
314,61.0,5.0,1.0,2.0
315,153.0,27.0,15.0,18.0
316,33.0,1.0,1.0,1.0
317,10.0,1.0,1.0,1.0
318,81.0,4.0,1.0,4.0
319,97.0,11.0,8.0,8.0
320,3.0,1.0,1.0,1.0
321,75.0,9.0,6.0,9.0
322,98.0,17.0,3.0,15.0
323,119.0,14.0,12.0,13.0
324,35.0,5.0,5.0,5.0
325,116.0,12.0,6.0,12.0
326,205.0,26.0,16.0,19.0
327,5.0,1.0,1.0,1.0
328,3.0,1.0,1.0,1.0
329,3.0,1.0,1.0,1.0
330,3.0,1.0,1.0,1.0
331,12.0,1.0,1.0,1.0
332,5.0,1.0,1.0,1.0
333,3.0,1.0,1.0,1.0
334,3.0,1.0,1.0,1.0
335,3.0,1.0,1.0,1.0
336,13.0,1.0,1.0,1.0
337,12.0,1.0,1.0,1.0
338,3.0,1.0,1.0,1.0
339,12.0,1.0,1.0,1.0
340,4.0,1.0,1.0,1.0
341,13.0,1.0,1.0,1.0
342,16.0,3.0,3.0,2.0
343,16.0,3.0,3.0,2.0
344,16.0,3.0,3.0,2.0
345,16.0,1.0,1.0,1.0
346,35.0,6.0,5.0,6.0
347,14.0,2.0,1.0,2.0
348,40.0,4.0,1.0,4.0
349,38.0,4.0,3.0,4.0
350,26.0,2.0,1.0,2.0
351,15.0,2.0,1.0,2.0
352,21.0,1.0,1.0,1.0
353,11.0,1.0,1.0,1.0
354,17.0,2.0,1.0,2.0
355,25.0,3.0,1.0,3.0
356,56.0,10.0,9.0,10.0
357,59.0,5.0,1.0,4.0
358,120.0,12.0,5.0,11.0
359,23.0,3.0,1.0,3.0
360,23.0,3.0,1.0,3.0
361,22.0,3.0,1.0,3.0
362,31.0,2.0,1.0,2.0
363,13.0,1.0,1.0,1.0
364,17.0,1.0,1.0,1.0
365,32.0,4.0,1.0,4.0
366,17.0,1.0,1.0,1.0
367,74.0,7.0,1.0,6.0
368,23.0,3.0,1.0,3.0
369,20.0,2.0,1.0,2.0
370,13.0,2.0,1.0,2.0
371,30.0,2.0,1.0,2.0
372,38.0,6.0,3.0,6.0
373,55.0,5.0,1.0,5.0
374,24.0,3.0,1.0,3.0
375,36.0,9.0,9.0,9.0
376,210.0,25.0,11.0,25.0
377,7.0,1.0,1.0,1.0
378,8.0,1.0,1.0,1.0
379,23.0,2.0,1.0,2.0
380,9.0,1.0,1.0,1.0
381,34.0,5.0,3.0,5.0
382,9.0,1.0,1.0,1.0
383,63.0,11.0,5.0,11.0
384,7.0,1.0,1.0,1.0
385,28.0,2.0,1.0,2.0
386,14.0,1.0,1.0,1.0
387,29.0,4.0,1.0,4.0
388,41.0,8.0,5.0,8.0
389,18.0,1.0,1.0,1.0
390,14.0,1.0,1.0,1.0
391,4.0,1.0,1.0,1.0
392,11.0,1.0,1.0,1.0
393,4.0,1.0,1.0,1.0
394,6.0,1.0,1.0,1.0
395,18.0,2.0,1.0,2.0
396,2.0,1.0,1.0,1.0
397,43.0,5.0,1.0,5.0
398,2.0,1.0,1.0,1.0
399,8.0,1.0,1.0,1.0
400,10.0,1.0,1.0,1.0
401,3.0,1.0,1.0,1.0
402,5.0,1.0,1.0,1.0
403,7.0,1.0,1.0,1.0
404,3.0,1.0,1.0,1.0
405,13.0,1.0,1.0,1.0
406,11.0,1.0,1.0,1.0
407,3.0,1.0,1.0,1.0
408,4.0,1.0,1.0,1.0
409,3.0,1.0,1.0,1.0
410,39.0,2.0,1.0,2.0
411,1.0,1.0,1.0,1.0
412,4.0,1.0,1.0,1.0
413,13.0,1.0,1.0,1.0
414,4.0,1.0,1.0,1.0
415,2.0,1.0,1.0,1.0
416,10.0,1.0,1.0,1.0
417,20.0,1.0,1.0,1.0
418,4.0,1.0,1.0,1.0
419,14.0,1.0,1.0,1.0
420,13.0,1.0,1.0,1.0
421,15.0,1.0,1.0,1.0
422,24.0,1.0,1.0,1.0
423,19.0,3.0,3.0,3.0
424,17.0,1.0,1.0,1.0
425,63.0,9.0,8.0,9.0
426,6.0,1.0,1.0,1.0
427,9.0,1.0,1.0,1.0
428,9.0,1.0,1.0,1.0
429,6.0,1.0,1.0,1.0
430,6.0,1.0,1.0,1.0
431,6.0,1.0,1.0,1.0
432,10.0,1.0,1.0,1.0
433,6.0,1.0,1.0,1.0
434,6.0,1.0,1.0,1.0
435,10.0,1.0,1.0,1.0
436,87.0,9.0,1.0,9.0
437,51.0,6.0,1.0,6.0
438,88.0,14.0,10.0,9.0
439,59.0,6.0,1.0,6.0
440,1.0,1.0,1.0,1.0
441,4.0,1.0,1.0,1.0
442,1.0,1.0,1.0,1.0
443,4.0,1.0,1.0,1.0
444,1.0,1.0,1.0,1.0
445,1.0,1.0,1.0,1.0
446,1.0,1.0,1.0,1.0
447,4.0,1.0,1.0,1.0
448,56.0,7.0,3.0,7.0
449,4.0,1.0,1.0,1.0
450,4.0,1.0,1.0,1.0
451,4.0,1.0,1.0,1.0
452,1.0,1.0,1.0,1.0
453,1.0,1.0,1.0,1.0
454,4.0,1.0,1.0,1.0
455,4.0,1.0,1.0,1.0
456,4.0,1.0,1.0,1.0
457,4.0,1.0,1.0,1.0
458,1.0,1.0,1.0,1.0
459,4.0,1.0,1.0,1.0
460,4.0,1.0,1.0,1.0
461,1.0,1.0,1.0,1.0
462,4.0,1.0,1.0,1.0
463,9.0,1.0,1.0,1.0
464,1.0,1.0,1.0,1.0
465,4.0,1.0,1.0,1.0
466,4.0,1.0,1.0,1.0
467,4.0,1.0,1.0,1.0
468,1.0,1.0,1.0,1.0
469,1.0,1.0,1.0,1.0
470,4.0,1.0,1.0,1.0
471,4.0,1.0,1.0,1.0
472,4.0,1.0,1.0,1.0
473,1.0,1.0,1.0,1.0
474,1.0,1.0,1.0,1.0
475,1.0,1.0,1.0,1.0
476,4.0,1.0,1.0,1.0
477,1.0,1.0,1.0,1.0
478,1.0,1.0,1.0,1.0
479,1.0,1.0,1.0,1.0
480,4.0,1.0,1.0,1.0
481,1.0,1.0,1.0,1.0
482,4.0,1.0,1.0,1.0
483,4.0,1.0,1.0,1.0
484,4.0,1.0,1.0,1.0
485,4.0,1.0,1.0,1.0
486,4.0,1.0,1.0,1.0
487,1.0,1.0,1.0,1.0
488,4.0,1.0,1.0,1.0
489,4.0,1.0,1.0,1.0
490,4.0,1.0,1.0,1.0
491,16.0,2.0,1.0,2.0
492,16.0,2.0,1.0,2.0
493,18.0,2.0,1.0,2.0
494,7.0,1.0,1.0,1.0
495,8.0,1.0,1.0,1.0
496,14.0,2.0,1.0,2.0
497,16.0,2.0,1.0,2.0
498,16.0,2.0,1.0,2.0
499,17.0,2.0,1.0,2.0
500,17.0,2.0,1.0,2.0
501,17.0,2.0,1.0,2.0
502,7.0,1.0,1.0,1.0
503,17.0,2.0,1.0,2.0
504,9.0,1.0,1.0,1.0
505,14.0,2.0,1.0,2.0
506,16.0,2.0,1.0,2.0
507,17.0,2.0,1.0,2.0
508,17.0,2.0,1.0,2.0
509,17.0,2.0,1.0,2.0
510,17.0,2.0,1.0,2.0
511,17.0,2.0,1.0,2.0
512,16.0,2.0,1.0,2.0
513,17.0,2.0,1.0,2.0
514,17.0,2.0,1.0,2.0
515,49.0,9.0,5.0,9.0
516,13.0,2.0,1.0,2.0
517,14.0,1.0,1.0,1.0
518,4.0,1.0,1.0,1.0
519,2.0,1.0,1.0,1.0
520,2.0,1.0,1.0,1.0
521,2.0,1.0,1.0,1.0
522,6.0,1.0,1.0,1.0
523,2.0,1.0,1.0,1.0
524,2.0,1.0,1.0,1.0
525,2.0,1.0,1.0,1.0
526,2.0,1.0,1.0,1.0
527,28.0,4.0,1.0,1.0
528,28.0,4.0,1.0,1.0
529,23.0,3.0,1.0,3.0
530,4.0,1.0,1.0,1.0
531,4.0,1.0,1.0,1.0
532,4.0,1.0,1.0,1.0
533,35.0,2.0,1.0,1.0
534,4.0,1.0,1.0,1.0
535,4.0,1.0,1.0,1.0
536,4.0,1.0,1.0,1.0
537,4.0,1.0,1.0,1.0
538,47.0,3.0,1.0,3.0
539,4.0,1.0,1.0,1.0
540,41.0,5.0,3.0,5.0
541,41.0,5.0,3.0,5.0
542,53.0,5.0,3.0,5.0
543,15.0,4.0,3.0,4.0
544,14.0,2.0,1.0,2.0
545,82.0,9.0,1.0,9.0
546,41.0,5.0,3.0,5.0
547,60.0,6.0,1.0,5.0
548,12.0,1.0,1.0,1.0
549,11.0,3.0,1.0,3.0
550,68.0,7.0,1.0,7.0
551,11.0,1.0,1.0,1.0
552,60.0,11.0,5.0,11.0
553,24.0,4.0,1.0,4.0
554,51.0,13.0,8.0,13.0
555,12.0,2.0,1.0,2.0
556,13.0,1.0,1.0,1.0
557,4.0,1.0,1.0,1.0
558,16.0,2.0,1.0,2.0
559,4.0,1.0,1.0,1.0
560,12.0,2.0,1.0,2.0
561,51.0,13.0,8.0,13.0
562,13.0,1.0,1.0,1.0
563,4.0,1.0,1.0,1.0
564,24.0,3.0,3.0,3.0
565,54.0,18.0,11.0,18.0
566,13.0,2.0,1.0,2.0
567,7.0,1.0,1.0,1.0
568,8.0,1.0,1.0,1.0
569,25.0,4.0,1.0,4.0
570,7.0,1.0,1.0,1.0
571,53.0,7.0,3.0,7.0
572,64.0,12.0,5.0,12.0
573,18.0,1.0,1.0,1.0
574,5.0,1.0,1.0,1.0
575,13.0,2.0,1.0,2.0
576,15.0,1.0,1.0,1.0
577,4.0,1.0,1.0,1.0
578,23.0,2.0,1.0,2.0
579,4.0,1.0,1.0,1.0
580,4.0,1.0,1.0,1.0
581,48.0,6.0,3.0,6.0
582,24.0,3.0,3.0,3.0
583,15.0,1.0,1.0,1.0
584,39.0,5.0,3.0,5.0
585,63.0,8.0,1.0,7.0
586,23.0,2.0,1.0,2.0
587,17.0,1.0,1.0,1.0
588,34.0,3.0,1.0,3.0
589,26.0,2.0,1.0,2.0
590,22.0,2.0,1.0,2.0
591,31.0,3.0,1.0,3.0
592,23.0,2.0,1.0,2.0
593,24.0,2.0,1.0,2.0
594,16.0,1.0,1.0,1.0
595,23.0,2.0,1.0,2.0
596,16.0,1.0,1.0,1.0
597,16.0,1.0,1.0,1.0
598,16.0,1.0,1.0,1.0
599,23.0,1.0,1.0,1.0
600,23.0,2.0,1.0,2.0
601,16.0,1.0,1.0,1.0
602,23.0,2.0,1.0,2.0
603,16.0,1.0,1.0,1.0
604,18.0,1.0,1.0,1.0
605,18.0,1.0,1.0,1.0
606,27.0,2.0,1.0,2.0
607,18.0,1.0,1.0,1.0
608,18.0,1.0,1.0,1.0
609,127.0,25.0,7.0,22.0
610,25.0,5.0,5.0,4.0
611,48.0,4.0,1.0,4.0
612,6.0,2.0,1.0,1.0
613,60.0,2.0,1.0,2.0
614,22.0,2.0,1.0,2.0
615,22.0,2.0,1.0,2.0
616,20.0,2.0,1.0,2.0
617,21.0,3.0,1.0,3.0
618,31.0,6.0,5.0,6.0
619,52.0,7.0,3.0,7.0
620,6.0,1.0,1.0,1.0
621,5.0,1.0,1.0,1.0
622,7.0,1.0,1.0,1.0
623,18.0,1.0,1.0,1.0
624,13.0,2.0,1.0,2.0
625,51.0,13.0,8.0,13.0
626,15.0,1.0,1.0,1.0
627,4.0,1.0,1.0,1.0
628,12.0,2.0,1.0,2.0
629,15.0,1.0,1.0,1.0
630,4.0,1.0,1.0,1.0
631,13.0,2.0,1.0,2.0
632,51.0,13.0,8.0,13.0
633,15.0,1.0,1.0,1.0
634,4.0,1.0,1.0,1.0
635,112.0,12.0,7.0,12.0
636,33.0,4.0,1.0,4.0
637,33.0,4.0,1.0,4.0
638,38.0,4.0,3.0,4.0
639,34.0,3.0,1.0,3.0
640,9.0,1.0,1.0,1.0
641,34.0,5.0,4.0,5.0
642,24.0,2.0,1.0,2.0
643,29.0,3.0,1.0,3.0
644,17.0,2.0,1.0,2.0
645,3.0,1.0,1.0,1.0
646,3.0,1.0,1.0,1.0
647,3.0,1.0,1.0,1.0
648,3.0,1.0,1.0,1.0
649,3.0,1.0,1.0,1.0
650,12.0,1.0,1.0,1.0
651,20.0,1.0,1.0,1.0
652,5.0,1.0,1.0,1.0
653,28.0,2.0,1.0,2.0
654,18.0,1.0,1.0,1.0
655,10.0,1.0,1.0,1.0
656,8.0,1.0,1.0,1.0
657,5.0,1.0,1.0,1.0
658,32.0,3.0,1.0,3.0
659,23.0,1.0,1.0,1.0
660,23.0,1.0,1.0,1.0
661,31.0,4.0,1.0,4.0
662,40.0,4.0,1.0,4.0
663,5.0,1.0,1.0,1.0
664,16.0,1.0,1.0,1.0
665,28.0,5.0,1.0,4.0
666,14.0,1.0,1.0,1.0
667,30.0,4.0,1.0,4.0
668,24.0,3.0,1.0,3.0
669,9.0,1.0,1.0,1.0
670,3.0,1.0,1.0,1.0
671,3.0,1.0,1.0,1.0
672,8.0,1.0,1.0,1.0
673,8.0,1.0,1.0,1.0
674,37.0,4.0,1.0,4.0
675,15.0,2.0,1.0,2.0
676,5.0,1.0,1.0,1.0
677,8.0,1.0,1.0,1.0
678,25.0,1.0,1.0,1.0
679,22.0,1.0,1.0,1.0
680,32.0,4.0,1.0,4.0
681,1.0,1.0,1.0,1.0
682,18.0,2.0,1.0,2.0
683,1.0,1.0,1.0,1.0
684,1.0,1.0,1.0,1.0
685,1.0,1.0,1.0,1.0
686,1.0,1.0,1.0,1.0
687,1.0,1.0,1.0,1.0
688,1.0,1.0,1.0,1.0
689,1.0,1.0,1.0,1.0
690,1.0,1.0,1.0,1.0
691,16.0,3.0,1.0,3.0
692,4.0,1.0,1.0,1.0
693,4.0,1.0,1.0,1.0
694,1.0,1.0,1.0,1.0
695,19.0,4.0,1.0,4.0
696,19.0,4.0,1.0,4.0
697,1.0,1.0,1.0,1.0
698,1.0,1.0,1.0,1.0
699,1.0,1.0,1.0,1.0
700,1.0,1.0,1.0,1.0
701,1.0,1.0,1.0,1.0
702,1.0,1.0,1.0,1.0
703,9.0,1.0,1.0,1.0
704,1.0,1.0,1.0,1.0
705,1.0,1.0,1.0,1.0
706,4.0,1.0,1.0,1.0
707,1.0,1.0,1.0,1.0
708,12.0,1.0,1.0,1.0
709,12.0,1.0,1.0,1.0
710,12.0,1.0,1.0,1.0
711,12.0,1.0,1.0,1.0
712,5.0,1.0,1.0,1.0
713,20.0,1.0,1.0,1.0
714,10.0,1.0,1.0,1.0
715,28.0,4.0,1.0,1.0
716,55.0,6.0,3.0,4.0
717,5.0,1.0,1.0,1.0
718,2.0,1.0,1.0,1.0
719,12.0,2.0,1.0,2.0
720,12.0,1.0,1.0,1.0
721,12.0,1.0,1.0,1.0
722,15.0,1.0,1.0,1.0
723,12.0,2.0,1.0,2.0
724,6.0,1.0,1.0,1.0
725,14.0,2.0,1.0,2.0
726,23.0,5.0,1.0,5.0
727,5.0,1.0,1.0,1.0
728,18.0,1.0,1.0,1.0
729,16.0,1.0,1.0,1.0
730,10.0,1.0,1.0,1.0
731,8.0,1.0,1.0,1.0
732,5.0,1.0,1.0,1.0
733,16.0,1.0,1.0,1.0
734,14.0,1.0,1.0,1.0
735,10.0,1.0,1.0,1.0
736,38.0,4.0,3.0,4.0
737,18.0,1.0,1.0,1.0
738,13.0,1.0,1.0,1.0
739,15.0,1.0,1.0,1.0
740,16.0,1.0,1.0,1.0
741,14.0,1.0,1.0,1.0
742,14.0,3.0,1.0,3.0
743,10.0,1.0,1.0,1.0
744,13.0,1.0,1.0,1.0
745,11.0,1.0,1.0,1.0
746,7.0,2.0,1.0,2.0
747,4.0,1.0,1.0,1.0
748,3.0,1.0,1.0,1.0
749,4.0,1.0,1.0,1.0
750,4.0,1.0,1.0,1.0
751,4.0,1.0,1.0,1.0
752,4.0,1.0,1.0,1.0
753,7.0,1.0,1.0,1.0
754,4.0,1.0,1.0,1.0
755,8.0,1.0,1.0,1.0
756,8.0,1.0,1.0,1.0
757,8.0,1.0,1.0,1.0
758,45.0,6.0,1.0,6.0
759,19.0,2.0,1.0,2.0
760,7.0,2.0,1.0,2.0
761,7.0,2.0,1.0,2.0
762,7.0,2.0,1.0,2.0
763,7.0,2.0,1.0,2.0
764,73.0,12.0,1.0,9.0
765,7.0,2.0,1.0,2.0
766,4.0,1.0,1.0,1.0
767,11.0,3.0,1.0,2.0
768,9.0,3.0,1.0,3.0
769,38.0,9.0,1.0,2.0
770,6.0,1.0,1.0,1.0
771,6.0,1.0,1.0,1.0
772,31.0,4.0,1.0,4.0
773,5.0,1.0,1.0,1.0
774,5.0,1.0,1.0,1.0
